<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/9,10:55:00,13840,13845,13820,13820,5964
2014/5/9,11:00:00,13825,13835,13820,13830,5340
2014/5/9,11:05:00,13830,13865,13830,13845,12870
2014/5/9,11:10:00,13840,13890,13840,13860,21314
2014/5/9,11:15:00,13860,13860,13825,13825,8744
2014/5/9,11:20:00,13830,13840,13815,13825,9448
2014/5/9,11:25:00,13830,13835,13820,13830,4156
2014/5/9,11:30:00,13830,13855,13825,13825,10674
2014/5/9,13:35:00,13825,13855,13805,13830,15590
2014/5/9,13:40:00,13825,13875,13825,13855,12638
2014/5/9,13:45:00,13855,13870,13830,13835,8926
2014/5/9,13:50:00,13835,13870,13835,13865,8628
2014/5/9,13:55:00,13865,13900,13855,13880,22870
2014/5/9,14:00:00,13880,13880,13855,13855,9034
2014/5/9,14:05:00,13860,13865,13845,13845,7440
2014/5/9,14:10:00,13845,13860,13845,13860,3994
2014/5/9,14:15:00,13855,13860,13830,13830,11982
2014/5/9,14:20:00,13825,13865,13815,13850,12554
2014/5/9,14:25:00,13855,13860,13830,13840,7826
2014/5/9,14:30:00,13840,13850,13830,13835,6178
2014/5/9,14:35:00,13830,13845,13810,13820,12620
2014/5/9,14:40:00,13820,13845,13815,13835,7376
2014/5/9,14:45:00,13835,13835,13785,13790,21096
2014/5/9,14:50:00,13790,13815,13775,13790,20044
2014/5/9,14:55:00,13790,13795,13755,13765,23786
2014/5/9,15:00:00,13765,13815,13760,13770,38910
2014/5/12,09:05:00,13845,13875,13810,13825,41428
2014/5/12,09:10:00,13825,13850,13800,13845,17446
2014/5/12,09:15:00,13850,13860,13825,13850,17972
2014/5/12,09:20:00,13855,13855,13815,13845,12686
2014/5/12,09:25:00,13845,13855,13820,13855,8846
2014/5/12,09:30:00,13855,14070,13835,14020,57284
2014/5/12,09:35:00,14025,14085,14010,14050,50416
2014/5/12,09:40:00,14045,14060,14005,14010,18638
2014/5/12,09:45:00,14010,14025,13940,13965,30342
2014/5/12,09:50:00,13965,14000,13965,13975,11644
2014/5/12,09:55:00,13975,13995,13965,13985,8100
2014/5/12,10:00:00,13990,13995,13975,13985,5146
2014/5/12,10:05:00,13990,13995,13975,13985,6460
2014/5/12,10:10:00,13985,14020,13985,14000,10450
2014/5/12,10:15:00,14000,14050,14000,14045,13394
2014/5/12,10:35:00,14050,14065,14015,14030,16172
2014/5/12,10:40:00,14035,14070,14030,14070,13394
2014/5/12,10:45:00,14065,14075,14040,14050,12892
2014/5/12,10:50:00,14050,14065,14040,14040,7204
2014/5/12,10:55:00,14040,14105,14035,14070,24868
2014/5/12,11:00:00,14075,14110,14070,14095,17124
2014/5/12,11:05:00,14100,14200,14100,14185,52756
2014/5/12,11:10:00,14185,14210,14130,14130,29188
2014/5/12,11:15:00,14125,14150,14120,14130,13472
2014/5/12,11:20:00,14130,14160,14125,14150,13056
2014/5/12,11:25:00,14155,14165,14145,14150,6760
2014/5/12,11:30:00,14145,14155,14135,14150,8696
2014/5/12,13:35:00,14155,14190,14155,14160,17504
2014/5/12,13:40:00,14155,14185,14155,14175,8236
2014/5/12,13:45:00,14175,14190,14160,14180,10368
2014/5/12,13:50:00,14180,14200,14165,14165,14792
2014/5/12,13:55:00,14170,14180,14155,14160,9638
2014/5/12,14:00:00,14160,14215,14160,14190,18284
2014/5/12,14:05:00,14190,14195,14120,14135,24078
2014/5/12,14:10:00,14135,14155,14130,14140,9220
2014/5/12,14:15:00,14140,14165,14135,14160,8596
2014/5/12,14:20:00,14155,14175,14150,14175,5320
2014/5/12,14:25:00,14170,14185,14160,14185,5536
2014/5/12,14:30:00,14180,14190,14160,14165,8282
2014/5/12,14:35:00,14165,14180,14160,14165,5634
2014/5/12,14:40:00,14160,14170,14145,14160,7382
2014/5/12,14:45:00,14165,14175,14150,14165,5054
2014/5/12,14:50:00,14165,14165,14110,14150,20804
2014/5/12,14:55:00,14150,14150,14115,14120,12468
2014/5/12,15:00:00,14120,14120,14060,14070,38694
2014/5/13,09:05:00,14190,14190,14090,14095,37322
2014/5/13,09:10:00,14100,14110,14070,14070,17348
2014/5/13,09:15:00,14075,14075,14035,14075,25218
2014/5/13,09:20:00,14075,14075,14035,14035,14648
2014/5/13,09:25:00,14035,14045,14010,14035,16678
2014/5/13,09:30:00,14030,14045,14015,14040,12344
2014/5/13,09:35:00,14040,14050,14020,14045,9690
2014/5/13,09:40:00,14040,14045,13985,14010,22014
2014/5/13,09:45:00,14005,14015,13990,14005,11692
2014/5/13,09:50:00,14005,14020,13995,14010,7656
2014/5/13,09:55:00,14010,14030,14000,14030,10052
2014/5/13,10:00:00,14025,14035,14010,14020,8438
2014/5/13,10:05:00,14015,14045,14015,14040,8778
2014/5/13,10:10:00,14040,14050,14030,14030,8674
2014/5/13,10:15:00,14030,14030,14015,14030,5768
2014/5/13,10:35:00,14025,14045,14020,14035,5700
2014/5/13,10:40:00,14040,14040,14025,14030,4324
2014/5/13,10:45:00,14030,14045,14015,14015,7138
2014/5/13,10:50:00,14015,14030,14010,14020,6156
2014/5/13,10:55:00,14025,14035,14020,14035,4280
2014/5/13,11:00:00,14035,14065,14030,14045,15614
2014/5/13,11:05:00,14040,14050,14035,14045,6138
2014/5/13,11:10:00,14045,14075,14045,14065,8094
2014/5/13,11:15:00,14065,14080,14055,14070,9346
2014/5/13,11:20:00,14070,14075,14055,14055,5276
2014/5/13,11:25:00,14055,14065,14045,14060,7902
2014/5/13,11:30:00,14065,14070,14050,14055,7126
2014/5/13,13:35:00,14055,14055,14025,14025,17564
2014/5/13,13:40:00,14025,14035,14015,14030,10030
2014/5/13,13:45:00,14030,14030,13995,14000,20468
2014/5/13,13:50:00,14005,14015,13985,14010,13124
2014/5/13,13:55:00,14005,14015,14000,14005,7416
2014/5/13,14:00:00,14000,14060,13985,14035,23670
2014/5/13,14:05:00,14035,14090,14025,14080,17258
2014/5/13,14:10:00,14080,14120,14070,14095,35380
2014/5/13,14:15:00,14095,14105,14075,14090,17082
2014/5/13,14:20:00,14090,14150,14090,14125,31372
2014/5/13,14:25:00,14130,14135,14105,14105,12838
2014/5/13,14:30:00,14105,14120,14105,14115,8680
2014/5/13,14:35:00,14115,14125,14110,14125,6514
2014/5/13,14:40:00,14125,14135,14095,14100,15186
2014/5/13,14:45:00,14095,14150,14090,14130,15196
2014/5/13,14:50:00,14130,14155,14115,14125,18136
2014/5/13,14:55:00,14130,14140,14110,14125,11580
2014/5/13,15:00:00,14125,14150,14100,14140,26758
2014/5/14,09:05:00,14180,14410,14180,14230,61914
2014/5/14,09:10:00,14230,14320,14220,14305,35800
2014/5/14,09:15:00,14310,14370,14310,14350,36878
2014/5/14,09:20:00,14350,14370,14270,14280,37356
2014/5/14,09:25:00,14280,14300,14270,14295,14252
2014/5/14,09:30:00,14290,14310,14290,14305,8890
2014/5/14,09:35:00,14305,14310,14265,14270,11230
2014/5/14,09:40:00,14270,14290,14255,14255,9780
2014/5/14,09:45:00,14255,14285,14255,14275,8114
2014/5/14,09:50:00,14275,14305,14275,14300,9520
2014/5/14,09:55:00,14305,14315,14290,14300,8388
2014/5/14,10:00:00,14300,14320,14280,14280,11606
2014/5/14,10:05:00,14285,14300,14270,14300,9282
2014/5/14,10:10:00,14300,14305,14285,14295,6168
2014/5/14,10:15:00,14295,14305,14280,14290,6178
2014/5/14,10:35:00,14280,14290,14255,14260,10042
2014/5/14,10:40:00,14255,14270,14175,14190,36050
2014/5/14,10:45:00,14190,14245,14175,14235,24658
2014/5/14,10:50:00,14240,14245,14225,14230,9734
2014/5/14,10:55:00,14235,14235,14220,14230,4682
2014/5/14,11:00:00,14235,14265,14230,14260,7946
2014/5/14,11:05:00,14260,14260,14240,14240,5156
2014/5/14,11:10:00,14240,14245,14230,14240,4044
2014/5/14,11:15:00,14245,14245,14220,14220,3684
2014/5/14,11:20:00,14220,14240,14220,14235,5210
2014/5/14,11:25:00,14230,14245,14225,14245,3886
2014/5/14,11:30:00,14240,14245,14215,14230,6340
2014/5/14,13:35:00,14250,14250,14225,14235,9268
2014/5/14,13:40:00,14235,14275,14230,14265,13372
2014/5/14,13:45:00,14265,14295,14265,14290,15184
2014/5/14,13:50:00,14295,14305,14270,14275,9492
2014/5/14,13:55:00,14275,14280,14260,14260,6296
2014/5/14,14:00:00,14260,14265,14250,14260,6936
2014/5/14,14:05:00,14260,14275,14255,14265,4318
2014/5/14,14:10:00,14265,14275,14250,14260,6242
2014/5/14,14:15:00,14265,14275,14260,14265,3434
2014/5/14,14:20:00,14270,14270,14210,14230,18260
2014/5/14,14:25:00,14230,14245,14225,14235,5044
2014/5/14,14:30:00,14235,14250,14230,14250,4132
2014/5/14,14:35:00,14250,14250,14230,14245,3872
2014/5/14,14:40:00,14250,14275,14225,14230,14136
2014/5/14,14:45:00,14230,14255,14225,14250,8400
2014/5/14,14:50:00,14245,14270,14245,14250,8892
2014/5/14,14:55:00,14255,14300,14240,14275,16326
2014/5/14,15:00:00,14285,14305,14270,14305,28068
2014/5/15,09:05:00,14265,14300,14240,14270,29536
2014/5/15,09:10:00,14280,14295,14255,14275,13498
2014/5/15,09:15:00,14275,14355,14270,14320,26900
2014/5/15,09:20:00,14325,14325,14300,14305,11902
2014/5/15,09:25:00,14310,14325,14285,14325,14400
2014/5/15,09:30:00,14325,14365,14320,14340,23282
2014/5/15,09:35:00,14335,14360,14310,14320,15334
2014/5/15,09:40:00,14315,14325,14295,14300,14050
2014/5/15,09:45:00,14300,14330,14300,14320,7090
2014/5/15,09:50:00,14320,14360,14310,14330,14874
2014/5/15,09:55:00,14330,14330,14305,14320,13388
2014/5/15,10:00:00,14315,14320,14175,14190,46568
2014/5/15,10:05:00,14190,14190,14105,14155,44088
2014/5/15,10:10:00,14160,14165,14140,14145,12988
2014/5/15,10:15:00,14145,14170,14135,14155,13898
2014/5/15,10:35:00,14155,14180,14150,14165,9850
2014/5/15,10:40:00,14160,14175,14160,14170,5644
2014/5/15,10:45:00,14165,14175,14145,14150,7804
2014/5/15,10:50:00,14150,14165,14145,14150,6094
